Air_state,Air_date,Air_value
DE,2020/1/8,32
FL,2020/1/8,43.2
GA,2020/1/8,31.6
HI,2020/1/8,33
IA,2020/1/8,18.6
ID,2020/1/8,24.3
IL,2020/1/8,23.2
IN,2020/1/8,30.6
KS,2020/1/8,34.2
KY,2020/1/8,21.2
LA,2020/1/8,41.6
MA,2020/1/8,36.7
MD,2020/1/8,38
ME,2020/1/8,25
MI,2020/1/8,23.6
MN,2020/1/8,18.2
MO,2020/1/8,25.3
MS,2020/1/8,39.8
MT,2020/1/8,23.1
NC,2020/1/8,18.3
ND,2020/1/8,31.7
NE,2020/1/8,14
NH,2020/1/8,34.3
NJ,2020/1/8,36
NM,2020/1/8,42.6
NV,2020/1/8,34.7
NY,2020/1/8,31.5
OH,2020/1/8,18.1
OK,2020/1/8,30.2
OR,2020/1/8,20
PA,2020/1/8,33.5
SC,2020/1/8,33.4
SD,2020/1/8,26.6
TN,2020/1/8,24.4
TX,2020/1/8,39.9
UT,2020/1/8,40.1
VA,2020/1/8,23
VT,2020/1/8,32.8
WA,2020/1/8,18.6
WI,2020/1/8,35.3
WV,2020/1/8,26.5
WY,2020/1/8,37.2
AK,2020/1/9,0
AL,2020/1/9,46.3
AR,2020/1/9,37.2
AZ,2020/1/9,38.1
CA,2020/1/9,37.1
CO,2020/1/9,31.1
CT,2020/1/9,26.8
DE,2020/1/9,28.5
FL,2020/1/9,42.7
GA,2020/1/9,47.4
HI,2020/1/9,27.7
IA,2020/1/9,36.6
ID,2020/1/9,26.8
IL,2020/1/9,34.7
IN,2020/1/9,34.3
KS,2020/1/9,39.2
KY,2020/1/9,25
LA,2020/1/9,39.9
MA,2020/1/9,34.8
MD,2020/1/9,30
ME,2020/1/9,25
MI,2020/1/9,27.3
MN,2020/1/9,31.2
MO,2020/1/9,30.5
MS,2020/1/9,54.8
MT,2020/1/9,29.4
NC,2020/1/9,26.1
ND,2020/1/9,30.3
NE,2020/1/9,21
NH,2020/1/9,34.3
NJ,2020/1/9,25.5
NM,2020/1/9,40.4
NV,2020/1/9,33.8
NY,2020/1/9,27.1
OH,2020/1/9,23.7
OK,2020/1/9,27.5
OR,2020/1/9,23
PA,2020/1/9,31
SC,2020/1/9,42.7
SD,2020/1/9,29.7
TN,2020/1/9,29.6
TX,2020/1/9,35.2
UT,2020/1/9,39.9
VA,2020/1/9,28.2
VT,2020/1/9,33.2
WA,2020/1/9,26
WI,2020/1/9,44
WV,2020/1/9,27
WY,2020/1/9,36.4
AK,2020/1/10,31
AL,2020/1/10,39.7
AR,2020/1/10,36.4
AZ,2020/1/10,33.8
CA,2020/1/10,41.5
CO,2020/1/10,31.2
CT,2020/1/10,35.5
DE,2020/1/10,34.5
FL,2020/1/10,42.2
GA,2020/1/10,38.9
HI,2020/1/10,21
IA,2020/1/10,47.2
ID,2020/1/10,24.9
IL,2020/1/10,42.7
IN,2020/1/10,35.4
KS,2020/1/10,31.5
KY,2020/1/10,28.9
LA,2020/1/10,34.7
MA,2020/1/10,40.8
MD,2020/1/10,36
ME,2020/1/10,34.7
MI,2020/1/10,33.2
MN,2020/1/10,29.7
MO,2020/1/10,33.7
MS,2020/1/10,39.5
MT,2020/1/10,39.3
NC,2020/1/10,30.5
ND,2020/1/10,30
NE,2020/1/10,30
NH,2020/1/10,33
NJ,2020/1/10,33
NM,2020/1/10,37
NV,2020/1/10,34.5
NY,2020/1/10,35.3
OH,2020/1/10,30.4
OK,2020/1/10,31.3
OR,2020/1/10,21.4
PA,2020/1/10,40
SC,2020/1/10,38.3
SD,2020/1/10,28.7
TN,2020/1/10,31
TX,2020/1/10,39.1
UT,2020/1/10,39.3
VA,2020/1/10,33
VT,2020/1/10,34.8
WA,2020/1/10,24.1
WI,2020/1/10,60.3
WV,2020/1/10,34
WY,2020/1/10,36.6
AK,2020/1/11,0
AL,2020/1/11,24.6
AR,2020/1/11,24.2
AZ,2020/1/11,44.9
CA,2020/1/11,42.4
CO,2020/1/11,35.6
CT,2020/1/11,40.5
DE,2020/1/11,35.5
FL,2020/1/11,45.9
GA,2020/1/11,29.5
HI,2020/1/11,26.3
IA,2020/1/11,24.7
ID,2020/1/11,29
IL,2020/1/11,14.1
IN,2020/1/11,29.2
KS,2020/1/11,25
KY,2020/1/11,16.2
LA,2020/1/11,27.6
MA,2020/1/11,40.8
MD,2020/1/11,36.3
ME,2020/1/11,35
MI,2020/1/11,18.1
MN,2020/1/11,29.6
MO,2020/1/11,21.5
MS,2020/1/11,30
MT,2020/1/11,27.4
NC,2020/1/11,27.7
ND,2020/1/11,32
NE,2020/1/11,5
NH,2020/1/11,36.3
NJ,2020/1/11,33
NM,2020/1/11,36.7
NV,2020/1/11,38.3
NY,2020/1/11,34.2
OH,2020/1/11,15.7
OK,2020/1/11,26.9
OR,2020/1/11,15.5
PA,2020/1/11,35
SC,2020/1/11,31.9
SD,2020/1/11,29.9
TN,2020/1/11,14.4
TX,2020/1/11,27.4
UT,2020/1/11,37
VA,2020/1/11,25.4
VT,2020/1/11,35.2
WA,2020/1/11,23
WI,2020/1/11,24.6
WV,2020/1/11,25.5
WY,2020/1/11,37.8
AK,2020/1/12,0
AL,2020/1/12,22.8
AR,2020/1/12,21.8
AZ,2020/1/12,46
