Mortality_Rate,level_mr,Residents_Aged_60_plus_Per_Each_ICU_Bed,mask,face_mask,covid_19,coronavirus,sanitizer,Air_value_avg_perday,level_ICU_per_60,level_trends_mask,level_trends_face_mask,level_trends_covid_19,level_trends_coronavirus,level_trends_sanitizer,level_air_avg
0.0,1,642.6704391127210,7,1,0,92,0,33.55555555555560,1,2,1,1,3,1,2
0.0,1,745.0335537990000,11,1,0,88,0,24.043478260869600,1,2,1,1,3,1,1
0.0,1,783.153982300885,11,2,0,85,2,40.285714285714300,2,2,1,1,2,2,2
0.0,1,1661.5851063829800,8,0,0,87,5,46.4,3,2,1,1,3,3,2
0.0,1,1018.9703748488500,15,2,0,83,0,35.142857142857100,3,3,1,1,2,1,2
0.0,1,1165.003162055340,16,1,0,83,0,27.238095238095200,3,3,1,1,2,1,1
0.0,1,718.6830015313940,18,0,0,80,2,44.166666666666700,1,3,1,1,2,2,2
0.0,1,1093.3899913718700,10,0,0,89,1,30.736842105263200,3,2,1,1,3,1,1
0.0,1,1211.6078431372500,8,8,0,84,0,40.125,3,2,3,1,2,1,2
0.0,1,695.1239399869540,11,1,0,88,0,20.1,1,2,1,1,3,1,1
0.0,1,983.5882352941180,8,0,0,89,3,21.666666666666700,2,2,1,1,3,3,1
0.0,1,963.879409878127,13,1,0,86,0,37.2,2,3,1,1,3,1,2
0.0,1,895.5628415300550,12,2,0,85,1,17.857142857142900,2,2,1,1,2,1,1
0.0,1,993.7720087217230,13,2,0,85,0,46.74193548387100,2,3,1,1,2,1,2
0.0,1,645.7082028804010,9,2,0,89,0,34.3,1,2,1,1,3,1,2
0.0,1,1195.1706231454000,12,1,0,87,0,66.66666666666670,3,2,1,1,3,1,3
0.0,1,1186.731182795700,14,9,0,77,0,44.0,3,3,3,1,1,1,2
0.0,1,927.9321912919340,11,1,0,88,0,7.65,2,2,1,1,3,1,1
0.0,1,742.884370015949,13,2,0,85,0,20.357142857142900,1,3,1,1,2,1,1
0.0,1,1626.2587064676600,10,4,0,86,0,20.666666666666700,3,2,2,1,3,1,1
0.0,1,1089.6433121019100,7,4,0,86,3,29.9,3,2,2,1,3,3,1
0.0,1,831.6262722646310,8,1,0,91,0,35.583333333333300,2,2,1,1,3,1,2
0.0,1,735.7436861902200,11,1,0,88,0,23.555555555555600,1,2,1,1,3,1,1
0.0,1,1281.056880733950,8,1,0,91,0,50.0,3,2,1,1,3,1,3
0.0,1,782.8057366362450,11,3,0,85,1,48.75,2,2,2,1,2,1,3
0.0,1,680.9985632183910,11,3,0,85,1,13.25,1,2,2,1,2,1,1
0.0,1,726.7866563227310,13,2,0,85,0,34.857142857142900,1,3,1,1,2,1,2
0.0,1,1362.41015625,12,4,0,84,0,40.75,3,2,2,1,2,1,2
0.0,1,1068.7116402116400,16,1,0,83,0,58.333333333333300,3,3,1,1,2,1,3
0.0,1,1110.0942684766200,13,2,0,85,0,53.666666666666700,3,3,1,1,2,1,3
0.0,1,919.3227404044570,11,1,0,88,0,28.3125,2,2,1,1,3,1,1
0.0,1,973.5807002561910,7,1,0,92,0,28.25,2,2,1,1,3,1,1
0.0,1,746.1941747572820,9,1,0,89,1,17.166666666666700,1,2,1,1,3,1,1
0.0,1,706.4819915254240,11,1,0,88,0,8.285714285714290,1,2,1,1,3,1,1
0.0,1,1518.0969696969700,11,2,0,87,0,33.714285714285700,3,2,1,1,3,1,2
0.0,1,889.4522727272730,11,1,0,86,2,12.5,2,2,1,1,3,2,1
0.0,1,654.8088888888890,8,1,0,91,0,39.0,1,2,1,1,3,1,2
0.0,1,1291.6198347107400,12,2,0,86,0,32.8,3,2,1,1,3,1,2
0.0,1,1038.7469813391900,13,1,0,86,0,55.25,3,3,1,1,3,1,3
0.0,1,1352.2794117647100,9,0,0,90,1,35.625,3,2,1,1,3,1,2
0.0,1,1063.1409412955500,14,3,0,83,0,35.6,3,3,2,1,2,1,2
0.0,1,949.8581050740910,10,2,0,88,0,21.0625,2,2,1,1,3,1,1
0.0,1,635.5252100840340,10,0,0,88,2,22.5,1,2,1,1,3,2,1
0.0,1,782.666566083283,11,2,0,87,0,18.4,2,2,1,1,3,1,1
0.0,1,752.1231203007520,14,1,0,84,1,18.8,2,3,1,1,2,1,1
0.0,1,1409.608497723820,13,3,0,84,0,25.846153846153800,3,3,2,1,2,1,1
0.0,1,955.2079520353420,11,1,0,87,1,49.47826086956520,2,2,1,1,3,1,3
0.0,1,906.0342857142860,14,1,0,85,0,27.875,2,3,1,1,2,1,1
0.0,1,1226.2894736842100,5,2,0,90,3,38.142857142857100,3,1,1,1,3,3,2
0.0,1,642.6704391127210,7,1,0,92,0,14.666666666666700,1,2,1,1,3,1,1
0.0,1,745.0335537990000,9,1,0,90,0,31.652173913043500,1,2,1,1,3,1,1
0.0,1,783.153982300885,14,1,0,83,2,38.57142857142860,2,3,1,1,2,2,2
0.0,1,1661.5851063829800,8,0,0,92,0,47.4,3,2,1,1,3,1,2
0.0,1,1018.9703748488500,12,3,0,85,0,28.857142857142900,3,2,2,1,2,1,1
0.0,1,1165.003162055340,15,2,0,83,0,28.047619047619000,3,3,1,1,2,1,1
0.0,1,718.6830015313940,12,2,0,85,1,36.166666666666700,1,2,1,1,2,1,2
0.0,1,1093.3899913718700,9,2,0,89,0,29.42105263157900,3,2,1,1,3,1,1
0.0,1,1211.6078431372500,9,5,0,86,0,35.375,3,2,2,1,3,1,2
0.0,1,695.1239399869540,11,1,0,87,1,19.1,1,2,1,1,3,1,1
0.0,1,983.5882352941180,8,2,0,88,2,25.0,2,2,1,1,3,2,1
0.0,1,963.879409878127,9,1,0,90,0,48.0,2,2,1,1,3,1,2
0.0,1,895.5628415300550,15,2,0,83,0,32.142857142857100,2,3,1,1,2,1,2
0.0,1,993.7720087217230,13,2,0,85,0,53.12903225806450,2,3,1,1,2,1,3
0.0,1,645.7082028804010,9,2,0,89,0,30.6,1,2,1,1,3,1,1
0.0,1,1195.1706231454000,13,1,0,86,0,35.0,3,3,1,1,3,1,2
0.0,1,1186.731182795700,15,0,0,82,3,37.5,3,3,1,1,2,3,2
0.0,1,927.9321912919340,11,1,0,88,0,36.4,2,2,1,1,3,1,2
0.0,1,742.884370015949,14,2,0,84,0,18.928571428571400,1,3,1,1,2,1,1
0.0,1,1626.2587064676600,12,2,0,86,0,16.666666666666700,3,2,1,1,3,1,1
0.0,1,1089.6433121019100,11,4,0,84,1,26.6,3,2,2,1,2,1,1
0.0,1,831.6262722646310,10,2,0,88,0,31.0,2,2,1,1,3,1,1
0.0,1,735.7436861902200,14,1,0,85,0,32.94444444444440,1,3,1,1,2,1,2
0.0,1,1281.056880733950,9,1,0,90,0,42.5,3,2,1,1,3,1,2
0.0,1,782.8057366362450,10,2,0,87,1,44.5,2,2,1,1,3,1,2
0.0,1,680.9985632183910,12,2,0,85,1,31.625,1,2,1,1,2,1,1
0.0,1,726.7866563227310,17,2,0,81,0,35.42857142857140,1,3,1,1,2,1,2
0.0,1,1362.41015625,8,4,0,88,0,22.25,3,2,2,1,3,1,1
0.0,1,1068.7116402116400,14,2,0,84,0,37.666666666666700,3,3,1,1,2,1,2
0.0,1,1110.0942684766200,14,1,0,85,0,32.833333333333300,3,3,1,1,2,1,2
0.0,1,919.3227404044570,11,2,0,87,0,18.3125,2,2,1,1,3,1,1
0.0,1,973.5807002561910,8,1,0,91,0,21.5,2,2,1,1,3,1,1
0.0,1,746.1941747572820,10,2,0,87,1,24.833333333333300,1,2,1,1,3,1,1
0.0,1,706.4819915254240,13,2,0,85,0,13.428571428571400,1,3,1,1,2,1,1
0.0,1,1518.0969696969700,10,2,0,88,0,29.428571428571400,3,2,1,1,3,1,1
0.0,1,889.4522727272730,8,1,0,90,1,11.5,2,2,1,1,3,1,1
0.0,1,654.8088888888890,12,1,0,87,0,38.666666666666700,1,2,1,1,3,1,2
0.0,1,1291.6198347107400,11,3,0,86,0,22.8,3,2,2,1,3,1,1
0.0,1,1038.7469813391900,15,2,0,83,0,34.25,3,3,1,1,2,1,2
0.0,1,1352.2794117647100,8,2,0,90,0,33.625,3,2,1,1,3,1,2
0.0,1,1063.1409412955500,15,2,0,83,0,34.3,3,3,1,1,2,1,2
0.0,1,949.8581050740910,12,2,0,86,0,11.3125,2,2,1,1,3,1,1
0.0,1,635.5252100840340,11,0,0,83,6,21.5,1,2,1,1,2,3,1
0.0,1,782.666566083283,13,2,0,85,0,14.6,2,3,1,1,2,1,1
0.0,1,752.1231203007520,13,2,0,85,0,22.0,2,3,1,1,2,1,1
0.0,1,1409.608497723820,12,2,0,86,0,24.23076923076920,3,2,1,1,3,1,1
0.0,1,955.2079520353420,12,2,0,86,0,28.217391304347800,2,2,1,1,3,1,1
0.0,1,906.0342857142860,11,1,0,87,1,23.75,2,2,1,1,3,1,1
0.0,1,1226.2894736842100,7,2,0,89,2,28.428571428571400,3,2,1,1,3,2,1
0.0,1,642.6704391127210,10,2,0,88,0,19.666666666666700,1,2,1,1,3,1,1
0.0,1,745.0335537990000,12,1,0,87,0,33.69565217391310,1,2,1,1,3,1,2
0.0,1,783.153982300885,12,1,0,87,0,44.42857142857140,2,2,1,1,3,1,2
0.0,1,1661.5851063829800,6,3,0,91,0,30.8,3,1,2,1,3,1,1
0.0,1,1018.9703748488500,11,2,0,87,0,16.714285714285700,3,2,1,1,3,1,1
0.0,1,1165.003162055340,15,1,0,84,0,26.38095238095240,3,3,1,1,2,1,1
0.0,1,718.6830015313940,15,3,0,82,0,14.166666666666700,1,3,2,1,2,1,1
0.0,1,1093.3899913718700,9,1,0,90,0,20.68421052631580,3,2,1,1,3,1,1
0.0,1,1211.6078431372500,10,0,0,90,0,37.875,3,2,1,1,3,1,2
0.0,1,695.1239399869540,15,2,0,83,0,23.8,1,3,1,1,2,1,1
0.0,1,983.5882352941180,14,2,0,84,0,20.666666666666700,2,3,1,1,2,1,1
0.0,1,963.879409878127,7,1,0,92,0,43.4,2,2,1,1,3,1,2
0.0,1,895.5628415300550,10,3,0,87,0,22.857142857142900,2,2,2,1,3,1,1
0.0,1,993.7720087217230,13,2,0,85,0,40.935483870967700,2,3,1,1,2,1,2
0.0,1,645.7082028804010,8,2,0,90,0,31.3,1,2,1,1,3,1,1
0.0,1,1195.1706231454000,14,1,0,85,0,22.166666666666700,3,3,1,1,2,1,1
0.0,1,1186.731182795700,14,0,0,86,0,26.5,3,3,1,1,3,1,1
0.0,1,927.9321912919340,11,1,0,88,0,36.3,2,2,1,1,3,1,2
0.0,1,742.884370015949,12,2,0,86,0,21.785714285714300,1,2,1,1,3,1,1
0.0,1,1626.2587064676600,11,2,0,87,0,17.0,3,2,1,1,3,1,1
0.0,1,1089.6433121019100,9,3,0,87,1,26.8,3,2,2,1,3,1,1
0.0,1,831.6262722646310,12,2,0,86,0,35.833333333333300,2,2,1,1,3,1,2
0.0,1,735.7436861902200,12,1,0,87,0,29.5,1,2,1,1,3,1,1
0.0,1,1281.056880733950,12,1,0,87,0,46.5,3,2,1,1,3,1,2
0.0,1,782.8057366362450,11,1,0,87,1,51.0,2,2,1,1,3,1,3
0.0,1,680.9985632183910,11,2,0,86,1,29.625,1,2,1,1,3,1,1
0.0,1,726.7866563227310,11,3,0,86,0,33.42857142857140,1,2,2,1,3,1,2
0.0,1,1362.41015625,10,2,0,87,1,11.0,3,2,1,1,3,1,1
0.0,1,1068.7116402116400,14,1,0,85,0,32.0,3,3,1,1,2,1,1
0.0,1,1110.0942684766200,12,2,0,86,0,24.0,3,2,1,1,3,1,1
0.0,1,919.3227404044570,11,2,0,87,0,20.875,2,2,1,1,3,1,1
0.0,1,973.5807002561910,10,2,0,88,0,23.25,2,2,1,1,3,1,1
0.0,1,746.1941747572820,9,5,0,86,0,26.666666666666700,1,2,2,1,3,1,1
0.0,1,706.4819915254240,11,2,0,87,0,9.428571428571430,1,2,1,1,3,1,1
0.0,1,1518.0969696969700,5,4,0,91,0,35.0,3,1,2,1,3,1,2
0.0,1,889.4522727272730,8,2,0,89,1,7.0,2,2,1,1,3,1,1
0.0,1,654.8088888888890,11,2,0,87,0,36.833333333333300,1,2,1,1,3,1,2
0.0,1,1291.6198347107400,10,3,0,85,2,17.2,3,2,2,1,2,2,1
0.0,1,1038.7469813391900,11,3,0,86,0,24.5,3,2,2,1,3,1,1
0.0,1,1352.2794117647100,9,2,0,89,0,31.875,3,2,1,1,3,1,1
0.0,1,1063.1409412955500,15,3,0,82,0,21.0,3,3,2,1,2,1,1
0.0,1,949.8581050740910,9,2,0,89,0,13.875,2,2,1,1,3,1,1
0.0,1,635.5252100840340,3,4,0,93,0,25.25,1,1,2,1,3,1,1
0.0,1,782.666566083283,11,1,0,88,0,14.75,2,2,1,1,3,1,1
0.0,1,752.1231203007520,12,1,0,87,0,28.5,2,2,1,1,3,1,1
0.0,1,1409.608497723820,12,1,0,87,0,16.923076923076900,3,2,1,1,3,1,1
0.0,1,955.2079520353420,12,2,0,86,0,24.304347826087000,2,2,1,1,3,1,1
0.0,1,906.0342857142860,10,1,0,88,1,31.125,2,2,1,1,3,1,1
0.0,1,1226.2894736842100,11,2,0,87,0,28.142857142857100,3,2,1,1,3,1,1
0.0,1,642.6704391127210,10,1,0,88,1,23.333333333333300,1,2,1,1,3,1,1
0.0,1,745.0335537990000,11,2,0,87,0,32.04347826086960,1,2,1,1,3,1,2
0.0,1,783.153982300885,10,1,0,89,0,38.714285714285700,2,2,1,1,3,1,2
0.0,1,1661.5851063829800,6,0,0,90,4,20.6,3,1,1,1,3,3,1
0.0,1,1018.9703748488500,9,1,0,90,0,16.428571428571400,3,2,1,1,3,1,1
0.0,1,1165.003162055340,13,2,0,85,0,28.666666666666700,3,3,1,1,2,1,1
0.0,1,718.6830015313940,8,1,0,91,0,12.833333333333300,1,2,1,1,3,1,1
0.0,1,1093.3899913718700,10,1,0,89,0,26.105263157894700,3,2,1,1,3,1,1
0.0,1,1211.6078431372500,8,3,0,89,0,38.5,3,2,2,1,3,1,2
0.0,1,695.1239399869540,11,1,0,88,0,20.3,1,2,1,1,3,1,1
0.0,1,983.5882352941180,11,1,0,86,2,16.333333333333300,2,2,1,1,3,2,1
0.0,1,963.879409878127,7,1,0,92,0,38.1,2,2,1,1,3,1,2
0.0,1,895.5628415300550,9,2,0,89,0,25.0,2,2,1,1,3,1,1
0.0,1,993.7720087217230,13,2,0,85,0,35.12903225806450,2,3,1,1,2,1,2
0.0,1,645.7082028804010,8,1,0,91,0,29.5,1,2,1,1,3,1,1
0.0,1,1195.1706231454000,11,2,0,87,0,22.166666666666700,3,2,1,1,3,1,1
0.0,1,1186.731182795700,9,1,0,89,1,33.0,3,2,1,1,3,1,2
0.0,1,927.9321912919340,11,2,0,87,0,38.8,2,2,1,1,3,1,2
0.0,1,742.884370015949,11,1,0,88,0,22.357142857142900,1,2,1,1,3,1,1
0.0,1,1626.2587064676600,13,4,0,82,1,19.333333333333300,3,3,2,1,2,1,1
0.0,1,1089.6433121019100,11,1,0,87,1,23.1,3,2,1,1,3,1,1
0.0,1,831.6262722646310,10,2,0,88,0,43.583333333333300,2,2,1,1,3,1,2
0.0,1,735.7436861902200,10,1,0,88,1,37.0,1,2,1,1,3,1,2
0.0,1,1281.056880733950,9,1,0,90,0,44.75,3,2,1,1,3,1,2
0.0,1,782.8057366362450,6,0,0,94,0,43.25,2,1,1,1,3,1,2
0.0,1,680.9985632183910,12,3,0,85,0,38.75,1,2,2,1,2,1,2
0.0,1,726.7866563227310,15,1,0,83,1,32.57142857142860,1,3,1,1,2,1,2
0.0,1,1362.41015625,8,1,0,90,1,14.0,3,2,1,1,3,1,1
0.0,1,1068.7116402116400,9,2,0,88,1,34.333333333333300,3,2,1,1,3,1,2
0.0,1,1110.0942684766200,10,2,0,88,0,21.5,3,2,1,1,3,1,1
0.0,1,919.3227404044570,11,1,0,87,1,16.625,2,2,1,1,3,1,1
0.0,1,973.5807002561910,8,3,0,89,0,19.5,2,2,2,1,3,1,1
0.0,1,746.1941747572820,11,1,0,87,1,29.666666666666700,1,2,1,1,3,1,1
0.0,1,706.4819915254240,9,1,0,90,0,11.571428571428600,1,2,1,1,3,1,1
0.0,1,1518.0969696969700,5,4,0,91,0,29.142857142857100,3,1,2,1,3,1,1
0.0,1,889.4522727272730,10,2,0,87,1,8.5,2,2,1,1,3,1,1
0.0,1,654.8088888888890,11,2,0,87,0,32.5,1,2,1,1,3,1,2
0.0,1,1291.6198347107400,7,1,0,92,0,13.6,3,2,1,1,3,1,1
0.0,1,1038.7469813391900,10,2,0,88,0,25.25,3,2,1,1,3,1,1
0.0,1,1352.2794117647100,9,1,0,90,0,32.625,3,2,1,1,3,1,2
0.0,1,1063.1409412955500,14,2,0,84,0,25.7,3,3,1,1,2,1,1
0.0,1,949.8581050740910,10,1,0,89,0,20.5625,2,2,1,1,3,1,1
0.0,1,635.5252100840340,10,4,0,84,2,28.25,1,2,2,1,2,2,1
0.0,1,782.666566083283,8,1,0,91,0,22.0,2,2,1,1,3,1,1
0.0,1,752.1231203007520,8,0,0,92,0,31.4,2,2,1,1,3,1,1
0.0,1,1409.608497723820,11,2,0,87,0,19.153846153846200,3,2,1,1,3,1,1
0.0,1,955.2079520353420,10,1,0,89,0,27.608695652173900,2,2,1,1,3,1,1
0.0,1,906.0342857142860,10,2,0,88,0,28.375,2,2,1,1,3,1,1
0.0,1,1226.2894736842100,7,5,0,88,0,29.142857142857100,3,2,2,1,3,1,1
0.0,1,642.6704391127210,11,2,0,86,1,25.444444444444400,1,2,1,1,3,1,1
0.0,1,745.0335537990000,12,2,0,86,0,33.91304347826090,1,2,1,1,3,1,2
0.0,1,783.153982300885,10,2,0,88,0,38.285714285714300,2,2,1,1,3,1,2
0.0,1,1661.5851063829800,6,0,0,94,0,20.0,3,1,1,1,3,1,1
0.0,1,1018.9703748488500,10,1,0,89,0,21.428571428571400,3,2,1,1,3,1,1
0.0,1,1165.003162055340,12,2,0,86,0,27.571428571428600,3,2,1,1,3,1,1
0.0,1,718.6830015313940,7,1,0,90,2,20.666666666666700,1,2,1,1,3,2,1
0.0,1,1093.3899913718700,9,1,0,90,0,21.263157894736800,3,2,1,1,3,1,1
0.0,1,1211.6078431372500,4,3,0,93,0,30.5,3,1,2,1,3,1,1
0.0,1,695.1239399869540,11,0,0,89,0,24.7,1,2,1,1,3,1,1
0.0,1,983.5882352941180,4,5,0,89,2,13.333333333333300,2,1,2,1,3,2,1
0.0,1,963.879409878127,8,2,0,90,0,37.2,2,2,1,1,3,1,2
0.0,1,895.5628415300550,9,2,0,88,1,38.57142857142860,2,2,1,1,3,1,2
0.0,1,993.7720087217230,13,2,0,85,0,39.70967741935480,2,3,1,1,2,1,2
0.0,1,645.7082028804010,10,2,0,88,0,34.5,1,2,1,1,3,1,2
0.0,1,1195.1706231454000,7,2,0,91,0,25.5,3,2,1,1,3,1,1
0.0,1,1186.731182795700,10,3,0,85,2,33.0,3,2,2,1,2,2,2
0.0,1,927.9321912919340,10,2,0,87,1,40.25,2,2,1,1,3,1,2
0.0,1,742.884370015949,11,2,0,87,0,23.714285714285700,1,2,1,1,3,1,1
0.0,1,1626.2587064676600,13,2,0,84,1,18.0,3,3,1,1,2,1,1
0.0,1,1089.6433121019100,7,2,0,91,0,25.5,3,2,1,1,3,1,1
0.0,1,831.6262722646310,10,2,0,87,1,34.5,2,2,1,1,3,1,2
0.0,1,735.7436861902200,7,0,0,92,1,42.166666666666700,1,2,1,1,3,1,2
