Province_State,confirmed,deaths,Date,ICU_Beds,Total_Population,Population_Aged_60_plus,usa_state_latitude,Mortality_Rate,Residents_Aged_60_plus_Per_Each_ICU_Bed,mask,face mask,covid-19,coronavirus,sanitizer,usa_state_code,Air_value_avg_perday
Massachusetts,0.0,0.0,2020/1/26,1326.0,6789319.0,1471985.0,42.407211,0.0,1110.0942684766214,12,2,0,86,0,MA,24.0
Michigan,0.0,0.0,2020/1/26,2423.0,9925568.0,2227519.0,44.314844,0.0,919.3227404044572,11,2,0,87,0,MI,20.875
Minnesota,0.0,0.0,2020/1/26,1171.0,5490726.0,1140063.0,46.729553,0.0,973.5807002561913,10,2,0,88,0,MN,23.25
Mississippi,0.0,0.0,2020/1/26,824.0,2986220.0,614864.0,32.354668,0.0,746.1941747572815,9,5,0,86,0,MS,26.666666666666668
Missouri,0.0,0.0,2020/1/26,1888.0,6075300.0,1333838.0,37.964253,0.0,706.4819915254237,11,2,0,87,0,MO,9.428571428571429
Montana,0.0,0.0,2020/1/26,165.0,1029862.0,250486.0,46.879682,0.0,1518.0969696969696,5,4,0,91,0,MT,35.0
Nebraska,0.0,0.0,2020/1/26,440.0,1893921.0,391359.0,41.492537,0.0,889.4522727272728,8,2,0,89,1,NE,7.0
Nevada,0.0,0.0,2020/1/26,900.0,2887725.0,589328.0,38.80261,0.0,654.8088888888889,11,2,0,87,0,NV,36.833333333333336
New Hampshire,0.0,0.0,2020/1/26,242.0,1331848.0,312572.0,43.193852,0.0,1291.6198347107438,10,3,0,85,2,NH,17.2
New Jersey,0.0,0.0,2020/1/26,1822.0,8960161.0,1892597.0,40.058324,0.0,1038.7469813391876,11,3,0,86,0,NJ,24.5
New Mexico,0.0,0.0,2020/1/26,340.0,2084828.0,459775.0,34.97273,0.0,1352.2794117647059,9,2,0,89,0,NM,31.875
New York,0.0,0.0,2020/1/26,3952.0,1.9798228E7,4201533.0,43.299428,0.0,1063.1409412955466,15,3,0,82,0,NY,21.0
North Carolina,0.0,0.0,2020/1/26,2227.0,1.0052564E7,2115334.0,35.759573,0.0,949.8581050740908,9,2,0,89,0,NC,13.875
North Dakota,0.0,0.0,2020/1/26,238.0,745475.0,151255.0,47.551493,0.0,635.5252100840336,3,4,0,93,0,ND,25.25
Ohio,0.0,0.0,2020/1/26,3314.0,1.1609756E7,2593757.0,40.417287,0.0,782.666566083283,11,1,0,88,0,OH,14.75
Oklahoma,0.0,0.0,2020/1/26,1064.0,3896251.0,800259.0,35.007752,0.0,752.1231203007519,12,1,0,87,0,OK,28.5
Oregon,0.0,0.0,2020/1/26,659.0,4025127.0,928932.0,43.804133,0.0,1409.608497723824,12,1,0,87,0,OR,16.923076923076923
Pennsylvania,0.0,0.0,2020/1/26,3169.0,1.2790505E7,3027054.0,41.203322,0.0,955.2079520353424,12,2,0,86,0,PA,24.304347826086957
South Carolina,0.0,0.0,2020/1/26,1225.0,4893444.0,1109892.0,33.836081,0.0,906.0342857142857,10,1,0,88,1,SC,31.125
South Dakota,0.0,0.0,2020/1/26,152.0,855444.0,186396.0,43.969515,0.0,1226.2894736842106,11,2,0,87,0,SD,28.142857142857142
Tennessee,0.0,0.0,2020/1/26,2209.0,6597381.0,1419659.0,35.517491,0.0,642.6704391127207,10,1,0,88,1,TN,23.333333333333332
Texas,0.0,0.0,2020/1/26,6199.0,2.7419612E7,4618463.0,31.968599,0.0,745.0335537989998,11,2,0,87,0,TX,32.04347826086956
Utah,0.0,0.0,2020/1/26,565.0,2993941.0,442482.0,39.32098,0.0,783.153982300885,10,1,0,89,0,UT,38.714285714285715
Vermont,0.0,0.0,2020/1/26,94.0,624636.0,156189.0,44.558803,0.0,1661.5851063829787,6,0,0,90,4,VT,20.6
Virginia,0.0,0.0,2020/1/26,1654.0,8365952.0,1685377.0,37.431573,0.0,1018.9703748488513,9,1,0,90,0,VA,16.428571428571427
Washington,1.0,0.0,2020/1/26,1265.0,7169967.0,1473729.0,47.751074,0.0,1165.003162055336,13,2,0,85,0,WA,28.666666666666668
West Virginia,0.0,0.0,2020/1/26,653.0,1836843.0,469300.0,38.597626,0.0,718.6830015313935,8,1,0,91,0,WV,12.833333333333334
Wisconsin,0.0,0.0,2020/1/26,1159.0,5763217.0,1267239.0,43.78444,0.0,1093.3899913718724,10,1,0,89,0,WI,26.105263157894736
Wyoming,0.0,0.0,2020/1/26,102.0,583200.0,123584.0,43.075968,0.0,1211.6078431372548,8,3,0,89,0,WY,38.5
Alabama,0.0,0.0,2020/1/27,1533.0,4850771.0,1065625.0,32.318231,0.0,695.1239399869537,11,1,0,88,0,AL,20.3
Alaska,0.0,0.0,2020/1/27,119.0,738565.0,117047.0,63.588753,0.0,983.5882352941177,11,1,0,86,2,AK,16.333333333333332
Arizona,1.0,0.0,2020/1/27,1559.0,6809946.0,1502688.0,34.048928,0.0,963.879409878127,7,1,0,92,0,AZ,38.1
Arkansas,0.0,0.0,2020/1/27,732.0,2977944.0,655552.0,35.20105,0.0,895.5628415300547,9,2,0,89,0,AR,25.0
California,2.0,0.0,2020/1/27,7338.0,3.8982847E7,7292299.0,36.778261,0.0,993.7720087217225,13,2,0,85,0,CA,35.12903225806452
Colorado,0.0,0.0,2020/1/27,1597.0,5436519.0,1031196.0,39.550051,0.0,645.7082028804008,8,1,0,91,0,CO,29.5
